PostingDate,PostingDate1,Transaction,MerchantName,TransactionAmount,AmountNumber,ExplanationCategory
2015-03-27T00:00:00Z,20150327,20150327_BROXAP_LTD_7584,BROXAP_LTD,758.4,7584,Items for offender workshops+industries
2015-03-26T00:00:00Z,20150326,20150326_SCREWFIX_DIRECT_82288,SCREWFIX_DIRECT,822.88,82288,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-20T00:00:00Z,20150320,20150320_ALEXANDER_BROWN_AND_CO_166919,ALEXANDER_BROWN_AND_CO,1669.19,166919,Estates-Services for Building+Electrical+Plumbing
2015-03-19T00:00:00Z,20150319,20150319_ALEXANDER_BROWN_AND_CO_15000,ALEXANDER_BROWN_AND_CO,1500.0,15000,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-09-03T00:00:00Z,20150903,20150903_MOORE_LARGE_66975,MOORE_LARGE,669.75,66975,Educational+Learning+Training-Equipment or Supplies
2015-03-16T00:00:00Z,20150316,20150316_PC_WORLD_83997,PC_WORLD,839.97,83997,Educational+Learning+Training-Equipment or Supplies
2015-03-16T00:00:00Z,20150316,20150316_EDMUDNSON_ELECTRICAL_83858,EDMUDNSON_ELECTRICAL,838.58,83858,Estates-Services for Building+Electrical+Plumbing
2015-03-19T00:00:00Z,20150319,20150319_PANTILES_TROPHIES_6325,PANTILES_TROPHIES,632.5,6325,Staff-Reward and recognition
2015-03-18T00:00:00Z,20150318,20150318_NAS_7560,NAS,756.0,7560,Staff Training
2015-04-03T00:00:00Z,20150403,20150403_DARWIN_VETERINARY_CENT_58921,DARWIN_VETERINARY_CENT,589.21,58921,Dogs-Vet Treatment Prison Service (Sniffer Dogs)
2015-03-16T00:00:00Z,20150316,20150316_CENTRAL_SOURCE_LTD_7200,CENTRAL_SOURCE_LTD,720.0,7200,Estates-Services for Building+Electrical+Plumbing
2015-03-16T00:00:00Z,20150316,20150316_SHELVINGSTORE_68648,SHELVINGSTORE,686.48,68648,Office Supplies
2015-03-31T00:00:00Z,20150331,20150331_Amazon_Svcs_Europe_9660,Amazon_Svcs_Europe,966.0,9660,Educational+Learning+Training-Equipment or Supplies
2015-03-30T00:00:00Z,20150330,20150330_SCREWFIX_DIRECT_67578,SCREWFIX_DIRECT,675.78,67578,Educational+Learning+Training-Equipment or Supplies
2015-03-26T00:00:00Z,20150326,20150326_GEAR4MUSIC_83613,GEAR4MUSIC,836.13,83613,Educational+Learning+Training-Equipment or Supplies
2015-03-26T00:00:00Z,20150326,20150326_DV247_LIMITED_9750,DV247_LIMITED,975.0,9750,Educational+Learning+Training-Equipment or Supplies
2015-03-26T00:00:00Z,20150326,20150326_GAK_99597,GAK,995.97,99597,Educational+Learning+Training-Equipment or Supplies
2015-03-26T00:00:00Z,20150326,20150326_SCREWFIX_DIRECT_97996,SCREWFIX_DIRECT,979.96,97996,Educational+Learning+Training-Equipment or Supplies
2015-03-27T00:00:00Z,20150327,20150327_EXPERT_ELECTRICAL_SUPP_72415,EXPERT_ELECTRICAL_SUPP,724.15,72415,Educational+Learning+Training-Equipment or Supplies
2015-03-25T00:00:00Z,20150325,20150325_BURY_VAN_HIRE_LIMITED_5560,BURY_VAN_HIRE_LIMITED,556.0,5560,Vehicle-Transport
2015-03-13T00:00:00Z,20150313,20150313_PARR_ROCHDALE_LTD_59474,PARR_ROCHDALE_LTD,594.74,59474,Estates-Services for Building+Electrical+Plumbing
2015-09-03T00:00:00Z,20150903,20150903_TRAVIS_PERKINS_7983,TRAVIS_PERKINS,798.3,7983,Educational+Learning+Training-Equipment or Supplies
2015-06-03T00:00:00Z,20150603,20150603_TRAVIS_PERKINS_68718,TRAVIS_PERKINS,687.18,68718,Educational+Learning+Training-Equipment or Supplies
2015-04-03T00:00:00Z,20150403,20150403_TRAVIS_PERKINS_52267,TRAVIS_PERKINS,522.67,52267,Educational+Learning+Training-Equipment or Supplies
2015-03-03T00:00:00Z,20150303,20150303_TRAVIS_PERKINS_71628,TRAVIS_PERKINS,716.28,71628,Educational+Learning+Training-Equipment or Supplies
2015-03-03T00:00:00Z,20150303,20150303_TRAVIS_PERKINS_78832,TRAVIS_PERKINS,788.32,78832,Educational+Learning+Training-Equipment or Supplies
2015-03-18T00:00:00Z,20150318,20150318_CITY_ELECTRICAL_FA_11730,CITY_ELECTRICAL_FA,1173.0,11730,Dogs-Kenneling for Prison Service (Sniffer Dogs)
2015-06-03T00:00:00Z,20150603,20150603_RIDGEWAY_OXFORD_NORTH_98355,RIDGEWAY_OXFORD_NORTH,983.55,98355,Vehicle-MOT & Service
2015-03-30T00:00:00Z,20150330,20150330_KINGSKERSWELL_POST_OFF_6113,KINGSKERSWELL_POST_OFF,611.3,6113,Official Newspapers for prison library
2015-03-23T00:00:00Z,20150323,20150323_PAPERSTONE_90942,PAPERSTONE,909.42,90942,Health and Safety Supplies
2015-03-31T00:00:00Z,20150331,20150331_SIGNGEER_LTD_5280,SIGNGEER_LTD,528.0,5280,Educational+Learning+Training-Equipment or Supplies
2015-03-13T00:00:00Z,20150313,20150313_PHYSIQUE_SPORTS_5700,PHYSIQUE_SPORTS,570.0,5700,Health and fitness equipment
2015-03-26T00:00:00Z,20150326,20150326_CHARTERHOUSE_HOLDI_10740,CHARTERHOUSE_HOLDI,1074.0,10740,Educational+Learning+Training-Equipment or Supplies
2015-03-26T00:00:00Z,20150326,20150326_UPNORTH_ENGINEERING_SE_27716,UPNORTH_ENGINEERING_SE,2771.6,27716,Estates-Services for Building+Electrical+Plumbing
2015-03-24T00:00:00Z,20150324,20150324_DIGITAL_PHOTO_SOLUTION_40788,DIGITAL_PHOTO_SOLUTION,4078.8,40788,Educational+Learning+Training-Equipment or Supplies
2015-03-23T00:00:00Z,20150323,20150323_STOCKS_SEW/BROTHER_79980,STOCKS_SEW/BROTHER,7998.0,79980,Items for offender workshops+industries
2015-12-03T00:00:00Z,20151203,20151203_UPNORTH_ENGINEERING_SE_116759,UPNORTH_ENGINEERING_SE,1167.59,116759,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-12-03T00:00:00Z,20151203,20151203_CHARTERHOUSE_HOLDI_31728,CHARTERHOUSE_HOLDI,3172.8,31728,Educational+Learning+Training-Equipment or Supplies
2015-09-03T00:00:00Z,20150903,20150903_LIGHTHOUSE_46092,LIGHTHOUSE,4609.2,46092,Educational+Learning+Training-Equipment or Supplies
2015-06-03T00:00:00Z,20150603,20150603_L_PROSSER_6480,L_PROSSER,648.0,6480,Waste disposal products+services including Chemical
2015-05-03T00:00:00Z,20150503,20150503_FRANKLIN_STEEL_STOCKHO_99797,FRANKLIN_STEEL_STOCKHO,997.97,99797,Estates-Industrial supplies+equipment
2015-03-03T00:00:00Z,20150303,20150303_JEWSON_LTD_88755,JEWSON_LTD,887.55,88755,Estates-Industrial supplies+equipment
2015-03-03T00:00:00Z,20150303,20150303_LORD_HIRE_CENTRES_72208,LORD_HIRE_CENTRES,722.08,72208,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-02-03T00:00:00Z,20150203,20150203_HAMILTON_POLLOCK_23700,HAMILTON_POLLOCK,2370.0,23700,Items for offender workshops+industries
2015-03-23T00:00:00Z,20150323,20150323_CANVAS_STRETCHER_55218,CANVAS_STRETCHER,552.18,55218,Items for offender workshops+industries
2015-03-13T00:00:00Z,20150313,20150313_THE_MANCHESTER_CIVIL_J_6660,THE_MANCHESTER_CIVIL_J,666.0,6660,Staff Training
2015-04-03T00:00:00Z,20150403,20150403_TROWBRIDGE_FORD_59736,TROWBRIDGE_FORD,597.36,59736,Vehicle-MOT & Service
2015-03-27T00:00:00Z,20150327,20150327_OPP_LTD_STERLING_VT_8115,OPP_LTD_STERLING_VT,811.5,8115,Educational+Learning+Training-Equipment or Supplies
2015-03-24T00:00:00Z,20150324,20150324_BIRKBECK_COLLEGE_7500,BIRKBECK_COLLEGE,750.0,7500,Staff Training
2015-12-03T00:00:00Z,20151203,20151203_UNIVERSAL_RENTALS_6720,UNIVERSAL_RENTALS,672.0,6720,Educational+Learning+Training-Equipment or Supplies
2015-11-03T00:00:00Z,20151103,20151103_SHL_Group_Ltd_9540,SHL_Group_Ltd,954.0,9540,Professional Subscriptions and Membership Fees
2015-03-31T00:00:00Z,20150331,20150331_AUTOGLASS_63605,AUTOGLASS,636.05,63605,Vehicle-New or Repairs and Maintenance
2015-03-25T00:00:00Z,20150325,20150325_ALEXANDRA_WEBSITE_51088,ALEXANDRA_WEBSITE,510.88,51088,Items for offender workshops+industries
2015-03-31T00:00:00Z,20150331,20150331_PULMAN_64931,PULMAN,649.31,64931,Vehicle-New or Repairs and Maintenance
2015-03-31T00:00:00Z,20150331,20150331_PULMAN_56177,PULMAN,561.77,56177,Vehicle-New or Repairs and Maintenance
2015-03-20T00:00:00Z,20150320,20150320_NOVA_CHROME_LTD_8514,NOVA_CHROME_LTD,851.4,8514,Educational+Learning+Training-Equipment or Supplies
2015-03-17T00:00:00Z,20150317,20150317_XPRES_10740,XPRES,1074.0,10740,Educational+Learning+Training-Equipment or Supplies
2015-03-17T00:00:00Z,20150317,20150317_XPRES_5145,XPRES,514.5,5145,Educational+Learning+Training-Equipment or Supplies
2015-03-16T00:00:00Z,20150316,20150316_ESSENTRA_PACKAGING_14946,ESSENTRA_PACKAGING,1494.6,14946,Assistive Technology and Equipment
2015-11-03T00:00:00Z,20151103,20151103_ARGOS_DIRECT_83993,ARGOS_DIRECT,839.93,83993,IT equipment
2015-03-26T00:00:00Z,20150326,20150326_Amazon_Svcs_Europe_8380,Amazon_Svcs_Europe,838.0,8380,Estates-Furniture+fixtures+fittings
2015-04-03T00:00:00Z,20150403,20150403_Amazon_Svcs_Europe_6897,Amazon_Svcs_Europe,689.7,6897,Security Equipment
2015-03-27T00:00:00Z,20150327,20150327_CONNEVANS_51498,CONNEVANS,514.98,51498,Assistive Technology and Equipment
2015-03-23T00:00:00Z,20150323,20150323_TRIAD_GARAGES_LTD_9510,TRIAD_GARAGES_LTD,951.0,9510,Vehicle-MOT & Service
2015-03-23T00:00:00Z,20150323,20150323_TRIAD_GARAGES_LTD_53308,TRIAD_GARAGES_LTD,533.08,53308,Vehicle-MOT & Service
2015-03-19T00:00:00Z,20150319,20150319_SOPER_GROUP_LTD_68839,SOPER_GROUP_LTD,688.39,68839,Estates-Industrial supplies+equipment
2015-03-16T00:00:00Z,20150316,20150316_TRIAD_GARAGES_LTD_5620,TRIAD_GARAGES_LTD,562.0,5620,Estates-Industrial supplies+equipment
2015-03-19T00:00:00Z,20150319,20150319_PENTALVER_TRANSPORT_LT_34980,PENTALVER_TRANSPORT_LT,3498.0,34980,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-10-03T00:00:00Z,20151003,20151003_DESTINATIONTRIUMPH_101548,DESTINATIONTRIUMPH,1015.48,101548,Vehicle-New or Repairs and Maintenance
2015-05-03T00:00:00Z,20150503,20150503_OWEN_ATV'S_GARDEN_MACH_8135,OWEN_ATV'S_GARDEN_MACH,813.5,8135,Gardening Equipment+Services+Supplies for prisoners to gain recognised qualifications in horticulture
2015-03-26T00:00:00Z,20150326,20150326_EDMUNDSON_ELECTRICAL_6206,EDMUNDSON_ELECTRICAL,620.6,6206,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-26T00:00:00Z,20150326,20150326_EDMUNDSON_ELECTRICAL_7740,EDMUNDSON_ELECTRICAL,774.0,7740,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-26T00:00:00Z,20150326,20150326_EDMUNDSON_ELECTRICAL_51204,EDMUNDSON_ELECTRICAL,512.04,51204,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-20T00:00:00Z,20150320,20150320_ARCO_LTD_59474,ARCO_LTD,594.74,59474,Estates-Industrial supplies+equipment
2015-12-03T00:00:00Z,20151203,20151203_MASTERS_TRADITIONAL_54758,MASTERS_TRADITIONAL,547.58,54758,Items for offender workshops+industries
2015-09-03T00:00:00Z,20150903,20150903_MASTERS_TRADITIONAL_97525,MASTERS_TRADITIONAL,975.25,97525,Items for offender workshops+industries
2015-09-03T00:00:00Z,20150903,20150903_MASTERS_TRADITIONAL_97518,MASTERS_TRADITIONAL,975.18,97518,Items for offender workshops+industries
2015-06-03T00:00:00Z,20150603,20150603_PARTS_CENTER_3NA_8436,PARTS_CENTER_3NA,843.6,8436,Estates-Services for Building+Electrical+Plumbing
2015-03-30T00:00:00Z,20150330,20150330_IRONMONGERY_DIRECT_LTD_6192,IRONMONGERY_DIRECT_LTD,619.2,6192,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-30T00:00:00Z,20150330,20150330_WATCO_UK_LTD_55488,WATCO_UK_LTD,554.88,55488,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-09-03T00:00:00Z,20150903,20150903_PREMIER_POLYTUNNELS_5683,PREMIER_POLYTUNNELS,568.3,5683,Gardening Equipment+Services+Supplies for prisoners to gain recognised qualifications in horticulture
2015-03-20T00:00:00Z,20150320,20150320_HOTSET_UK_LTD_55852,HOTSET_UK_LTD,558.52,55852,Estates-Industrial supplies+equipment
2015-03-20T00:00:00Z,20150320,20150320_MALCOLMS_MUSICLAND_74234,MALCOLMS_MUSICLAND,742.34,74234,Educational+Learning+Training-Equipment or Supplies
2015-03-20T00:00:00Z,20150320,20150320_Amazon_Svcs_Europe_63308,Amazon_Svcs_Europe,633.08,63308,Educational+Learning+Training-Equipment or Supplies
2015-03-20T00:00:00Z,20150320,20150320_I_C_S_COOL_ENERGY_5700,I_C_S_COOL_ENERGY,570.0,5700,Estates-Services for Building+Electrical+Plumbing
2015-11-03T00:00:00Z,20151103,20151103_TRADELINE_LTD_5000,TRADELINE_LTD,500.0,5000,Estates-Services for Building+Electrical+Plumbing
2015-03-18T00:00:00Z,20150318,20150318_FELFORD_SUPPLIES_9600,FELFORD_SUPPLIES,960.0,9600,Health and Safety Supplies
2015-03-17T00:00:00Z,20150317,20150317_FELFORD_SUPPLIES_8994,FELFORD_SUPPLIES,899.4,8994,Health and Safety Supplies
2015-03-26T00:00:00Z,20150326,20150326_EBUYER_LTD_66998,EBUYER_LTD,669.98,66998,Assistive Technology and Equipment
2015-03-20T00:00:00Z,20150320,20150320_AZELIS_UK_INDUSTRIAL_C_90522,AZELIS_UK_INDUSTRIAL_C,905.22,90522,Estates-Industrial supplies+equipment
2015-03-19T00:00:00Z,20150319,20150319_WICKES_BUILDINGS_5856,WICKES_BUILDINGS,585.6,5856,Estates-Services for Building+Electrical+Plumbing
2015-11-03T00:00:00Z,20151103,20151103_EBUYER_LTD_59999,EBUYER_LTD,599.99,59999,Assistive Technology and Equipment
2015-05-03T00:00:00Z,20150503,20150503_ADVANCE_AUTOTECH_6000,ADVANCE_AUTOTECH,600.0,6000,Vehicle-New or Repairs and Maintenance
2015-05-03T00:00:00Z,20150503,20150503_ADVANCE_AUTOTECH_50998,ADVANCE_AUTOTECH,509.98,50998,Vehicle-New or Repairs and Maintenance
2015-05-03T00:00:00Z,20150503,20150503_LABORATORY_PRECISION_L_7200,LABORATORY_PRECISION_L,720.0,7200,Items for offender workshops+industries
2015-03-30T00:00:00Z,20150330,20150330_DSG_VAUXHALL_72731,DSG_VAUXHALL,727.31,72731,Vehicle-New or Repairs and Maintenance
2015-03-30T00:00:00Z,20150330,20150330_Amazon_UK_Marketplace_7767,Amazon_UK_Marketplace,776.7,7767,Prison -Operational items
2015-03-20T00:00:00Z,20150320,20150320_BRITISHBINS_50275,BRITISHBINS,502.75,50275,Estates-Industrial supplies+equipment
2015-11-03T00:00:00Z,20151103,20151103_VETS_NOW_EMERGENCY_103195,VETS_NOW_EMERGENCY,1031.95,103195,Dogs-Vet Treatment Prison Service (Sniffer Dogs)
2015-10-03T00:00:00Z,20151003,20151003_BANSTEAD_VILLAGE_VETER_142259,BANSTEAD_VILLAGE_VETER,1422.59,142259,Dogs-Vet Treatment Prison Service (Sniffer Dogs)
2015-06-03T00:00:00Z,20150603,20150603_PC_WORLD_82996,PC_WORLD,829.96,82996,Educational+Learning+Training-Equipment or Supplies
2015-05-03T00:00:00Z,20150503,20150503_AQUARIUS_BLINDS_98936,AQUARIUS_BLINDS,989.36,98936,Security Equipment
"2015-09-03T00:00:00Z,20150903,20150903_IWM_BUSINESS_SERVI_6000,IWM_BUSINESS_SERVI,600.0,6000,""Educational/Learning/Training - Offender Costs (Registration, Certification etc)""",,,,,,
2015-03-31T00:00:00Z,20150331,20150331_EDMUNDSON_ELECTRICAL_58361,EDMUNDSON_ELECTRICAL,583.61,58361,Estates-Services for Building+Electrical+Plumbing
2015-10-03T00:00:00Z,20151003,20151003_KOSI_KARE_5604,KOSI_KARE,560.4,5604,Staff-Clothing and Footwear
2015-03-03T00:00:00Z,20150303,20150303_ARGOS_DIRECT_60893,ARGOS_DIRECT,608.93,60893,Items for offender workshops+industries
2015-03-31T00:00:00Z,20150331,20150331_SCREWFIX_DIRECT_99811,SCREWFIX_DIRECT,998.11,99811,Estates-Industrial supplies+equipment
2015-03-30T00:00:00Z,20150330,20150330_HAMMOND_NISSAN_5064,HAMMOND_NISSAN,506.4,5064,Vehicle-New or Repairs and Maintenance
2015-03-30T00:00:00Z,20150330,20150330_MPD_68394,MPD,683.94,68394,Vehicle-New or Repairs and Maintenance
2015-03-30T00:00:00Z,20150330,20150330_ARGOS_B2B_ONLINE_68709,ARGOS_B2B_ONLINE,687.09,68709,Educational+Learning+Training-Equipment or Supplies
2015-03-27T00:00:00Z,20150327,20150327_C_WYNNE_JONES_84095,C_WYNNE_JONES,840.95,84095,Items for offender workshops+industries
2015-03-25T00:00:00Z,20150325,20150325_COLLIERCATCHPOLE_84684,COLLIERCATCHPOLE,846.84,84684,Items for offender workshops+industries
2015-03-25T00:00:00Z,20150325,20150325_COLLIERCATCHPOLE_7518,COLLIERCATCHPOLE,751.8,7518,Items for offender workshops+industries
2015-03-20T00:00:00Z,20150320,20150320_WORM_CITY_LTD_9120,WORM_CITY_LTD,912.0,9120,Items for offender workshops+industries
2015-03-19T00:00:00Z,20150319,20150319_PETER_CHILD_WOODTU_75385,PETER_CHILD_WOODTU,753.85,75385,Educational+Learning+Training-Equipment or Supplies
2015-03-19T00:00:00Z,20150319,20150319_WORM_CITY_LTD_9120,WORM_CITY_LTD,912.0,9120,Waste disposal products+services including Chemical
2015-11-03T00:00:00Z,20151103,20151103_CLAYTON_FIRSTAID_53622,CLAYTON_FIRSTAID,536.22,53622,Health and Safety Supplies
2015-09-03T00:00:00Z,20150903,20150903_WHITTON_FROST_SON_6780,WHITTON_FROST_SON,678.0,6780,Educational+Learning+Training-Equipment or Supplies
2015-04-03T00:00:00Z,20150403,20150403_JAYAR_CAR_PARTS_9540,JAYAR_CAR_PARTS,954.0,9540,Educational+Learning+Training-Equipment or Supplies
2015-03-03T00:00:00Z,20150303,20150303_JEWSON_LTD_96621,JEWSON_LTD,966.21,96621,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-27T00:00:00Z,20150327,20150327_APT_CONTROLS_LTD_5000,APT_CONTROLS_LTD,500.0,5000,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-26T00:00:00Z,20150326,20150326_APT_CONTROLS_LTD_5000,APT_CONTROLS_LTD,500.0,5000,Estates-Supplies for Maintenance of Building+Electrical+Plumbing
2015-03-23T00:00:00Z,20150323,20150323_HILLCREST_CARS_50268,HILLCREST_CARS,502.68,50268,Vehicle-MOT & Service
2015-03-23T00:00:00Z,20150323,20150323_OXFORD_CITY_COUNCIL_8526,OXFORD_CITY_COUNCIL,852.6,8526,Estates-Industrial supplies+equipment
2015-03-20T00:00:00Z,20150320,20150320_OXFORD_CITY_COUNCIL_8526,OXFORD_CITY_COUNCIL,852.6,8526,Estates-Industrial supplies+equipment
2015-05-03T00:00:00Z,20150503,20150503_ABC_DIRECT_5103,ABC_DIRECT,510.3,5103,Estates-Industrial supplies+equipment
2015-03-03T00:00:00Z,20150303,20150303_BARNES_PLASTIC_WEL_52678,BARNES_PLASTIC_WEL,526.78,52678,Estates-Industrial supplies+equipment
2015-02-03T00:00:00Z,20150203,20150203_NCP_LTD_SSN_TCKTS_58566,NCP_LTD_SSN_TCKTS,585.66,58566,Staff-Operational requirement
2015-11-03T00:00:00Z,20151103,20151103_FRANCOTYP_9560,FRANCOTYP,956.0,9560,Telecommunications
2015-03-03T00:00:00Z,20150303,20150303_YAHIRE_LTD_5100,YAHIRE_LTD,510.0,5100,Office Supplies
2015-03-20T00:00:00Z,20150320,20150320_DON_RUFFLES_LTD_5388,DON_RUFFLES_LTD,538.8,5388,Estates-Industrial supplies+equipment
